INSTANCE_ID, kcnfs04SAT07, kcnfs04SAT07_SOLVED, kcnfs04SAT07_CUTOFFTIME, kcnfs04SAT07EXITCODE, INSTANCE_ID, march_dl2004, march_dl2004_SOLVED, march_dl2004_CUTOFFTIME, march_dl2004EXITCODE, INSTANCE_ID, minisat20SAT07, minisat20SAT07_SOLVED, minisat20SAT07_CUTOFFTIME, minisat20SAT07EXITCODE, INSTANCE_ID, minisat2.0, minisat2.0_SOLVED, minisat2.0_CUTOFFTIME, minisat2.0EXITCODE, INSTANCE_ID, rsat20, rsat20_SOLVED, rsat20_CUTOFFTIME, rsat20EXITCODE, INSTANCE_ID, vallst, vallst_SOLVED, vallst_CUTOFFTIME, vallstEXITCODE, INSTANCE_ID, zchaff_rand, zchaff_rand_SOLVED, zchaff_rand_CUTOFFTIME, zchaff_randEXITCODE, INSTANCE_ID, tts, tts_SOLVED, tts_CUTOFFTIME, ttsEXITCODE, INSTANCE_ID, picosat846, picosat846_SOLVED, picosat846_CUTOFFTIME, picosat846EXITCODE, INSTANCE_ID, mxc08, mxc08_SOLVED, mxc08_CUTOFFTIME, mxc08EXITCODE, INSTANCE_ID, march_pl, march_pl_SOLVED, march_pl_CUTOFFTIME, march_plEXITCODE, INSTANCE_ID, ranov, ranov_SOLVED, ranov_CUTOFFTIME, ranovEXITCODE, INSTANCE_ID, adaptg2wsat0, adaptg2wsat0_SOLVED, adaptg2wsat0_CUTOFFTIME, adaptg2wsat0EXITCODE, INSTANCE_ID, adaptg2wsatplus, adaptg2wsatplus_SOLVED, adaptg2wsatplus_CUTOFFTIME, adaptg2wsatplusEXITCODE, INSTANCE_ID, gnoveltyplus, gnoveltyplus_SOLVED, gnoveltyplus_CUTOFFTIME, gnoveltyplusEXITCODE, INSTANCE_ID, SATenstein_hgen, SATenstein_hgen_SOLVED, SATenstein_hgen_CUTOFFTIME, SATenstein_hgenEXITCODE, INSTANCE_ID, SATenstein_r3sat, SATenstein_r3sat_SOLVED, SATenstein_r3sat_CUTOFFTIME, SATenstein_r3satEXITCODE, INSTANCE_ID, SATenstein_qcp, SATenstein_qcp_SOLVED, SATenstein_qcp_CUTOFFTIME, SATenstein_qcpEXITCODE, INSTANCE_ID, SATenstein_swgcp, SATenstein_swgcp_SOLVED, SATenstein_swgcp_CUTOFFTIME, SATenstein_swgcpEXITCODE, INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, vars_reduced_depth_1, vars_reduced_depth_4, vars_reduced_depth_16, vars_reduced_depth_64, vars_reduced_depth_256, BestSolution_Mean, BestSolution_CoeffVariance, FirstLocalMinStep_Mean, FirstLocalMinStep_CoeffVariance, FirstLocalMinStep_Median, FirstLocalMinStep_Q10, FirstLocalMinStep_Q90, BestAvgImprovement_Mean, BestAvgImprovement_CoeffVariance, FirstLocalMinRatio_Mean, FirstLocalMinRatio_CoeffVariance, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, Pre_featuretime, Basic_featuretime, KLB_featuretime, DIAMETER_featuretime, cl_featuretime, sp_featuretime, unit_featuretime, ls_featuretime, lobjois_featuretime
5321703,0,0,3600,0,5321703,3600.35,0,3600,2304,5321703,3170.02,1,11250,0,5321703,3600.27,0,3600,2304,5321703,3806.61,1,11250,2560,5321703,3600.24,0,3600,2304,5321703,0.02,0,3600,1536,5321703,3600.3,0,3600,2304,5321703,4329.84,1,11250,2560,5321703,8374.73,1,11250,2560,5321703,3600,0,3600,256,5321703,0.02,0,3600,65280,5321703,0,0,3600,0,5321703,0,0,3600,0,5321703,0,0,3600,65280,5321703,999999,0,0,0,5321703,999999,0,0,0,5321703,999999,0,0,0,5321703,999999,0,0,0,5321703,1461772,5687554,447289,2172391,2.268070532,1.618107882,0.205897097,0.39700278,1.081922704,0,1,1.279898007,7.69E-06,1.298511333,4.47E-06,0.000172148,1.235895761,0,0.536124482,0.783747953,7.69E-06,18.30639963,3.22E-06,0.014035687,1.334849604,0.322105233,0.15743861,0,0.999409468,1.797191648,5.93E-06,23.69388759,1.38E-06,0.014027861,1.733814575,0.894631307,1.64E-05,5.270247673,2.30E-06,0.009699451,9.2,0.043478261,9,10,0.500402424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870926433,0.19587922,0,0.99979003,0.978619947,0.778994253,0.975100041,0.825090487,0.911648102,0.113769988,0.884279839,0,0.5,0.296747039,0.011863019,0.147317153,0.014254938,0.108441905,0.000143084,0.000143084,0.000143084,0.000143084,0.000143084,211602,0,0,0,0,0,0,12.99829877,0,2.318795146,0,0.594628976,0.645632723,345.88,0.7,659.59,2.33,2,13.56,344.97,5.35,2.76
5321706,0,0,3600,0,5321706,3600.32,0,3600,2304,5321706,11250.8,0,11250,2304,5321706,3600.24,0,3600,2304,5321706,1972.16,1,11250,2560,5321706,3600.24,0,3600,2304,5321706,3600.24,0,3600,2304,5321706,3600.4,0,3600,2304,5321706,4811.65,1,11250,2560,5321706,407.34,1,3600,2560,5321706,3600,0,3600,256,5321706,0.02,0,3600,65280,5321706,0,0,3600,0,5321706,0,0,3600,0,5321706,0,0,3600,65280,5321706,999999,0,0,0,5321706,999999,0,0,0,5321706,999999,0,0,0,5321706,999999,0,0,0,5321706,633392,2141556,20926,784104,29.26818312,1.731214227,0.026687786,0.382326507,0.944851893,0,1,2.119316439,0.000435198,1.432099128,9.56E-05,0.004826532,2.356610997,0,0.377270107,0.636789252,0.000435198,2.176669384,8.93E-06,0.005634457,5.698590125,0.420742956,0.319713771,0,0.942307692,4.132070742,0.000362654,2.514977634,3.83E-06,0.005395968,4.927892199,0.656037975,0.000226286,0.930439957,8.93E-06,0.002234397,51,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720253921,0.455059215,0,0.999994012,0.9952152,0.072520369,0.97620351,0.520637683,0.899499534,0.141924891,1.294042954,0,0.5,0.451050797,9.12E-05,0.313958665,0.001280241,0.018434161,4.78E-05,0.00019115,0.000764599,0.026283093,0.041527287,34576.66667,1.682283993,4572,0.866121544,6799,0,6799,2.638734987,0.87400152,0.659325419,0.866025408,0.349111154,0.576001866,341.98,0.3,4.49,2.14,2,22.46,369.6,4.55,2.05
5321666,0,0,3600,0,5321666,977.82,0,3600,2816,5321666,98.62,1,3600,0,5321666,115.45,1,3600,0,5321666,986.74,1,1200,2560,5321666,3600.41,0,3600,2304,5321666,0.01,0,3600,1536,5321666,3600.33,0,3600,2304,5321666,1034.72,1,3600,2560,5321666,490.15,1,3600,2560,5321666,3600,0,3600,256,5321666,0.02,0,3600,65280,5321666,0,0,3600,0,5321666,0,0,3600,0,5321666,0,0,3600,65280,5321666,6.43,0,3600,2816,5321666,6.1,0,3600,2816,5321666,6.07,0,3600,2816,5321666,6.09,0,3600,2816,5321666,1004933,4426834,134915,861225,6.448638031,4.140159656,0.156654765,0.281225124,1.091028803,0,1,1.456884466,2.14E-05,0.416815863,1.48E-05,0.000103769,1.269999455,0,0.471924294,0.783271503,2.14E-05,10.6282062,6.97E-06,0.021539087,2.617873859,0.22209643,0.241179192,0,0.888888889,2.754544479,1.38E-05,15.77556672,1.16E-06,0.021107144,2.376781659,0.703670934,1.29E-05,12.48449666,4.65E-06,0.015469825,11.625,0.041644982,11,12,0.661563238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564009313,0.614788119,1.51E-06,0.999999331,0.982728047,0.055319317,0.91582479,0.223757927,0.586471688,0.037030675,1.168153196,0,0.305042308,0.086650718,0.001403527,0.05846476,0.004451452,0.022052667,0,1.48E-05,9.64E-05,9.64E-05,9.64E-05,65714,0,0,0,0,0,0,30.07825433,0,1.821959274,0,0.210137247,0.615297262,163.3,0.26,60.74,2.15,2,5.58,175.61,3.07,2
5321702,0,0,3600,0,5321702,3600.29,0,3600,2304,5321702,4038.68,1,11250,0,5321702,985.58,1,3600,0,5321702,346.3,1,1200,2560,5321702,3600.23,0,3600,2304,5321702,3600.25,0,3600,2304,5321702,3600.27,0,3600,2304,5321702,918.75,1,3600,2560,5321702,516.36,1,3600,2560,5321702,3600,0,3600,256,5321702,0.02,0,3600,65280,5321702,0,0,3600,0,5321702,0,0,3600,0,5321702,0,0,3600,65280,5321702,999999,0,0,0,5321702,999999,0,0,0,5321702,999999,0,0,0,5321702,999999,0,0,0,5321702,683996,2623082,209283,1017418,2.26828266,1.578175342,0.205700115,0.400845905,1.067320931,0,1,1.333459441,1.65E-05,1.192023477,9.56E-06,0.000310584,1.286788185,0,0.533605657,0.781389753,1.65E-05,13.11753808,6.88E-06,0.015777193,1.527420939,0.318527573,0.15858784,0,0.998877945,1.961943434,1.25E-05,17.23195011,2.95E-06,0.015757535,1.841797729,0.882952729,3.16E-05,4.291874037,4.91E-06,0.011035779,8.333333333,0.056568542,8,9,0.636514168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860029138,0.20797762,0,0.999708876,0.977916005,0.770638692,0.96989438,0.819575472,0.881614772,0.118247403,0.900943657,0.000157347,0.5,0.314383562,0.015383852,0.151977429,0.019381022,0.090800657,0.000272358,0.000272358,0.000272358,0.000272358,0.000272358,67199,0,0,0,0,0,0,4.54517134,0,1.639698043,0,0.424466512,0.659723915,87.03,0.34,144.76,2.14,2,6.11,87.68,3.4,2.28
5321714,0,0,3600,0,5321714,543.35,0,3600,2816,5321714,11250.7,0,11250,2304,5321714,3600.24,0,3600,2304,5321714,11250.7,0,11250,2304,5321714,3600.23,0,3600,2304,5321714,2455.33,1,3600,2560,5321714,3241.84,0,3600,0,5321714,9274.25,1,11250,2560,5321714,11250.7,0,11250,2304,5321714,3600,0,3600,256,5321714,0.03,0,3600,65280,5321714,0,0,3600,0,5321714,0,0,3600,0,5321714,0,0,3600,65280,5321714,999999,0,0,0,5321714,999999,0,0,0,5321714,999999,0,0,0,5321714,999999,0,0,0,5321714,509512,1529045,134938,885495,2.775897079,0.726768644,0.152387083,0.374475449,0.552037896,0,1,1.474617265,2.57E-05,0.308833705,1.48E-05,0.000148216,1.423079387,0,0.164610754,0.585761636,2.57E-05,10.31653301,7.91E-06,0.014368235,2.976026002,0.162557202,0.120911864,0,0.998863313,3.000963438,1.15E-05,13.74775928,2.26E-06,0.010910282,1.793232251,0.489348895,2.68E-05,8.952208486,6.78E-06,0.011662404,12,0.041666667,11,13,0.73562194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396193494,0.59203617,0,0.999594264,0.677973511,0.062413009,0.599671751,0.165224176,0.449481542,0.090203635,0.561208897,0,0.315136852,0.155580759,0.019301078,0.130404407,0.050655222,0.088860549,0,0,0,7.41E-06,2.96E-05,46671,0,0,0,0,0,0,4.440285059,0,1.860977365,0,0.158661015,0.341102418,25.57,0.3,60.91,2.06,2,5.87,102.3,3.34,2.08
5321730,0,0,3600,0,5321730,1564.98,0,3600,2816,5321730,68.57,1,3600,0,5321730,186.76,1,3600,0,5321730,35.93,1,1200,2560,5321730,2667.85,1,3600,2560,5321730,43.93,1,3600,2560,5321730,734.1,0,3600,0,5321730,38.2,1,3600,2560,5321730,39.05,1,3600,2560,5321730,3600,0,3600,256,5321730,0.04,0,3600,65280,5321730,3600.22,0,3600,2304,5321730,3600.23,0,3600,2304,5321730,0.01,0,3600,65280,5321730,999999,0,0,0,5321730,999999,0,0,0,5321730,999999,0,0,0,5321730,999999,0,0,0,5321730,199571,912286,13828,539366,13.43238357,0.691404353,0.025637508,0.259350479,1.41420102,0,1,1.694988594,0.000481016,2.572648104,0.000144634,0.042739369,1.817804,0,0.631029765,0.722789349,0.000481016,1.98228775,1.11E-05,0.006552137,5.697068419,0.407442461,0.309256195,0,0.990917348,4.250077411,0.000297105,2.69517305,7.42E-06,0.006146105,4.339525001,0.772228876,0.000379826,1.686999764,1.11E-05,0.003949081,19.16666667,0.019444069,19,20,0.450561209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678108821,0.476693707,0,1,0.976491375,0.133464006,0.946716601,0.414838105,0.828691665,0.151033113,1.107650588,0,0.5,0.448805639,0.000366249,0.28491137,0.014401838,0.069769857,0,0,0,0.000506219,0.052212901,858,0.003296535,4543.5,0.001089413,4543.5,4540,4540,8.887286445,0.232674511,0.994244007,0.000157877,0.315076826,0.888914705,22.21,0.19,2.71,2.04,2,18.37,124.55,3.29,2.06
5321729,0,0,3600,0,5321729,1578.42,0,3600,2816,5321729,193.03,1,3600,0,5321729,213.46,1,3600,0,5321729,70.08,1,1200,2560,5321729,3600.22,0,3600,2304,5321729,363.84,1,3600,2560,5321729,1668.46,0,3600,2304,5321729,158.59,1,3600,2560,5321729,33.34,1,3600,2560,5321729,3600,0,3600,256,5321729,0.04,0,3600,65280,5321729,3600.22,0,3600,2304,5321729,3600.22,0,3600,2304,5321729,0.02,0,3600,65280,5321729,999999,0,0,0,5321729,999999,0,0,0,5321729,999999,0,0,0,5321729,999999,0,0,0,5321729,187667,874988,13323,525202,13.08594161,0.666002795,0.025367382,0.250792245,1.449989543,0,1,1.654553326,0.000489626,2.643015299,0.000150116,0.044359379,1.7724783,0,0.643476224,0.731663246,0.000489626,1.965825349,1.14E-05,0.006321377,5.698278885,0.406250915,0.30885437,0,0.990917348,4.255231195,0.000305038,2.670587304,7.62E-06,0.005927243,4.351799766,0.780080807,0.000394025,1.694086747,1.14E-05,0.004055582,18.52941177,0.026937401,18,19,0.691416078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680201987,0.476185764,0,1,0.976972983,0.131536499,0.947818872,0.419428541,0.83530931,0.151151137,1.111051786,0,0.5,0.448977118,0.000306506,0.28868418,0.013505685,0.068829607,0,0,0,0.000525407,0.053891766,982.25,0.307832876,3268.25,0.666675342,4350,0,4353,10.38686187,0.679139736,0.999442059,0.01100118,0.438731088,0.91016983,21.9,0.19,2.71,2.08,2,18.35,128.73,3.24,2.22
5321719,0,0,3600,0,5321719,3600.24,0,3600,2304,5321719,11250.7,0,11250,2304,5321719,3600.25,0,3600,2304,5321719,46.4,1,1200,2560,5321719,3600.22,0,3600,2304,5321719,1193.62,1,3600,2560,5321719,3600.28,0,3600,2304,5321719,22.45,1,3600,2560,5321719,12.97,1,3600,2560,5321719,3600,0,3600,256,5321719,3600.22,0,3600,2304,5321719,3600.22,0,3600,2304,5321719,3600.22,0,3600,2304,5321719,3600.21,0,3600,2304,5321719,999999,0,0,0,5321719,999999,0,0,0,5321719,999999,0,0,0,5321719,999999,0,0,0,5321719,135786,453174,7174,169803,17.92751603,1.668822106,0.042248959,0.376105265,0.931936246,0,1,2.129031988,0.000948849,1.220696864,0.000278784,0.008502927,2.207732116,0,0.380953222,0.639411553,0.000948849,1.820814831,4.12E-05,0.009440351,5.173198125,0.37655568,0.288642083,0,0.90625,4.102240946,0.000740763,2.194138152,1.77E-05,0.008780764,4.443537912,0.66027102,0.000655631,0.827458271,4.12E-05,0.004346213,30.95454546,0.016806936,30,32,0.771187145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623579685,0.470713679,8.11E-05,0.999874646,0.982586323,0.20671445,0.903548924,0.374476405,0.667039447,0.0390963,1.87990276,0,0.28765275,0.162453795,5.10E-08,0.033585844,5.98E-06,0.00062961,0.000139392,0.000557569,0.002230276,0.055199331,0.079174798,385.1666667,0.35491982,2106.5,0.315171489,2298.5,2260,2306,3.769287389,0.553453714,0.987246436,0.015448014,0.353705722,0.655276778,18.27,0.07,0.52,2.01,2,4.54,24.39,2.44,2.02
5321701,0,0,3600,0,5321701,3600.25,0,3600,2304,5321701,61.68,1,3600,0,5321701,71.12,1,3600,0,5321701,57.52,1,1200,2560,5321701,3600.22,0,3600,2304,5321701,316.75,1,3600,2560,5321701,2523.21,0,3600,0,5321701,122.13,1,3600,2560,5321701,70.57,1,3600,2560,5321701,3600,0,3600,256,5321701,3600.22,0,3600,2304,5321701,3600.23,0,3600,2304,5321701,3600.23,0,3600,2304,5321701,3600.22,0,3600,2304,5321701,999999,0,0,0,5321701,999999,0,0,0,5321701,999999,0,0,0,5321701,999999,0,0,0,5321701,267767,1002957,80123,378769,2.341949253,1.647938453,0.211535263,0.39453278,1.061650376,0,1,1.424167038,4.41E-05,1.183143235,2.50E-05,0.000936061,1.361225913,0,0.533425386,0.769323783,4.41E-05,8.571003508,1.85E-05,0.018697412,1.880117412,0.330162634,0.178732738,0,0.997454751,2.299121009,3.29E-05,11.39116109,5.28E-06,0.018644609,2.184794225,0.864783021,7.70E-05,3.188908043,1.32E-05,0.013308903,7.678571429,0.115719584,7,9,0.900204651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780619956,0.186755847,6.29E-05,0.999835301,0.922668355,0.649227052,0.881730421,0.700543151,0.824418636,0.070485262,0.874978369,0,0.300349195,0.157033786,0.001237816,0.126762101,0.005501834,0.052956525,0.000486752,0.000486752,0.000486752,0.000486752,0.000486752,12599,0,0,0,0,0,0,2.311300345,0,1.250911119,0,0.465698052,0.678906182,17.37,0.12,21.57,2.02,2,3.55,19.12,2.57,2.21
5321607,0,0,3600,0,5321607,3600.29,0,3600,2304,5321607,11250.8,0,11250,2304,5321607,1308.31,1,3600,0,5321607,271.78,1,1200,2560,5321607,3600.22,0,3600,2304,5321607,32.76,1,3600,2560,5321607,3449.69,0,3600,0,5321607,53.07,1,3600,2560,5321607,24.27,1,3600,2560,5321607,3600,0,3600,256,5321607,3600.23,0,3600,2304,5321607,3600.23,0,3600,2304,5321607,3600.24,0,3600,2304,5321607,3600.22,0,3600,2304,5321607,3600.24,0,3600,2304,5321607,3600.23,0,3600,2304,5321607,3600.23,0,3600,2304,5321607,3600.22,0,3600,2304,5321607,331631,1586193,93918,630755,2.531069657,1.514752955,0.14889775,0.342756153,1.028643711,0,1,1.279865199,2.80E-05,0.365466581,2.13E-05,0.000127771,0.96519324,0,0.5376303,0.934045707,2.80E-05,0.618873235,9.51E-06,6.98E-05,2.921512127,0.237908564,0.160253261,0,0.833333333,3.115464275,1.77E-05,0.548113385,4.76E-06,4.44E-05,2.639602363,0.734575231,2.72E-05,0.617295919,6.34E-06,6.66E-05,15.23076923,0.027662755,15,16,0.540204142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505751478,0.593586594,0,0.973531525,0.8505968,0.047954118,0.792987213,0.226861337,0.572202672,0.015600877,0.910221658,2.30E-08,0.2199947,0.034004902,6.49E-07,0.026114183,9.05E-05,0.015800383,0.000159714,0.00088375,0.018462914,0.034072276,0.13154028,14732,0,0,0,0,0,0,3.400566289,0,1.144311113,0,0.146840009,0.435532658,11.74,0.2,29.65,2.14,2,3.9,196.55,2.8,2.03
5321606,0,0,3600,0,5321606,3600.26,0,3600,2304,5321606,1380.49,1,3600,0,5321606,2534.96,1,3600,0,5321606,1174.61,1,1200,2560,5321606,3600.22,0,3600,2304,5321606,30.05,1,3600,2560,5321606,3196.93,0,3600,0,5321606,125.59,1,3600,2560,5321606,29.05,1,3600,2560,5321606,3600,0,3600,256,5321606,3600.23,0,3600,2304,5321606,3600.22,0,3600,2304,5321606,3600.23,0,3600,2304,5321606,3600.23,0,3600,2304,5321606,3600.23,0,3600,2304,5321606,3600.23,0,3600,2304,5321606,3600.23,0,3600,2304,5321606,3600.22,0,3600,2304,5321606,294246,1384270,85194,546816,2.453834777,1.531509685,0.155800123,0.348288238,1.036715248,0,1,1.306300462,3.08E-05,0.383744539,2.35E-05,0.000140855,0.979367432,0,0.557328242,0.926437778,3.08E-05,0.570484662,1.10E-05,7.32E-05,2.862040573,0.240632377,0.160439665,0,0.818181818,3.093288985,1.96E-05,0.517066915,5.49E-06,5.12E-05,2.593365102,0.741170705,3.03E-05,0.567377146,7.32E-06,6.95E-05,15.1875,0.02569958,15,16,0.482577565,30,0.265622958,21,41,41,21,41,24,34,3.069368296,0.106394713,2.609756098,3.380952381,3.380952381,2.609756098,3.380952381,2.911764706,3.375,0.506498883,0.611916471,0,0.977633378,0.851974391,0.034465774,0.792263265,0.186441081,0.617501135,0.014172227,0.892438578,2.22E-07,0.208054683,0.030805768,1.83E-06,0.024116295,0.000144117,0.01379671,1.17E-05,0.015505787,0.021081297,0.06437073,0.140455901,10813,0,28224,0,28224,28224,28224,3.023247342,0,0.986866463,0,0.166894034,0.465869018,10.07,0.18,24.33,2.12,2,3.81,144.23,2.66,2.04
